name_en,name_cn,name_pinyin,code,state_code,country_code,continent_code
Hefei,合肥市,hefei,340100,340000,CN,AS
Wuhu,芜湖市,wuhu,340200,340000,CN,AS
Bengbu,蚌埠市,bengbu,340300,340000,CN,AS
Huainan,淮南市,huainan,340400,340000,CN,AS
Maanshan,马鞍山市,maanshan,340500,340000,CN,AS
Huaibei,淮北市,huaibei,340600,340000,CN,AS
Tongling,铜陵市,tongling,340700,340000,CN,AS
Anqing,安庆市,anqing,340800,340000,CN,AS
Huangshan,黄山市,huangshan,341000,340000,CN,AS
Chuzhou,滁州市,chuzhou,341100,340000,CN,AS
Fuyang,阜阳市,fuyang,341200,340000,CN,AS
Suzhou,宿州市,suzhou,341300,340000,CN,AS
Luan,六安市,luan,341500,340000,CN,AS
Bozhou,亳州市,bozhou,341600,340000,CN,AS
Chizhou,池州市,chizhou,341700,340000,CN,AS
Xuancheng,宣城市,xuancheng,341800,340000,CN,AS
