code,name,name_ascii,geonameid,iso_state_id,id
CN.19.2102,Dalian Shi,Dalian Shi,1814068,CN.19,2102
CN.19.2108,Yingkou,Yingkou,2033369,CN.19,2108
CN.19.2112,Tieling Shi,Tieling Shi,2034437,CN.19,2112
CN.19.2101,Shenyang Shi,Shenyang Shi,2034935,CN.19,2101
CN.19.2111,Panjin Shi,Panjin Shi,2035516,CN.19,2111
CN.19.2110,Liaoyang Shi,Liaoyang Shi,2036112,CN.19,2110
CN.19.2107,Jinzhou Shi,Jinzhou Shi,2036425,CN.19,2107
CN.19.2114,Huludao Shi,Huludao Shi,2036430,CN.19,2114
CN.19.2109,Fuxin Shi,Fuxin Shi,2037337,CN.19,2109
CN.19.2104,Fushun Shi,Fushun Shi,2037353,CN.19,2104
CN.19.2106,Dandong Shi,Dandong Shi,2037885,CN.19,2106
CN.19.2113,Chaoyang Shi,Chaoyang Shi,2038101,CN.19,2113
CN.19.2105,Benxi Shi,Benxi Shi,2038299,CN.19,2105
CN.19.2103,Anshan Shi,Anshan Shi,2038630,CN.19,2103
