name_en,name_cn,name_pinyin,code,state_code,country_code,continent_code
Lanzhou,兰州市,lanzhou,620100,620000,CN,AS
Jiayuguan,嘉峪关市,jiayuguan,620200,620000,CN,AS
Jinchang,金昌市,jinchang,620300,620000,CN,AS
Baiyin,白银市,baiyin,620400,620000,CN,AS
Tianshui,天水市,tianshui,620500,620000,CN,AS
Wuwei,武威市,wuwei,620600,620000,CN,AS
Zhangye,张掖市,zhangye,620700,620000,CN,AS
Pingliang,平凉市,pingliang,620800,620000,CN,AS
Jiuquan,酒泉市,jiuquan,620900,620000,CN,AS
Qingyang,庆阳市,qingyang,621000,620000,CN,AS
Dingxi,定西市,dingxi,621100,620000,CN,AS
Longnan,陇南市,longnan,621200,620000,CN,AS
Linxia,临夏回族自治州,linxia,622900,620000,CN,AS
Gannan,甘南藏族自治州,gannan,623000,620000,CN,AS
