name_en,name_cn,name_pinyin,code,state_code,country_code,continent_code
Guangzhou,广州市,guangzhou,440100,440000,CN,AS
Shaoguan,韶关市,shaoguan,440200,440000,CN,AS
Shenzhen,深圳市,shenzhen,440300,440000,CN,AS
Zhuhai,珠海市,zhuhai,440400,440000,CN,AS
Shantou,汕头市,shantou,440500,440000,CN,AS
Foshan,佛山市,foshan,440600,440000,CN,AS
Jiangmen,江门市,jiangmen,440700,440000,CN,AS
Zhanjiang,湛江市,zhanjiang,440800,440000,CN,AS
Maoming,茂名市,maoming,440900,440000,CN,AS
Zhaoqing,肇庆市,zhaoqing,441200,440000,CN,AS
Huizhou,惠州市,huizhou,441300,440000,CN,AS
Meizhou,梅州市,meizhou,441400,440000,CN,AS
Shanwei,汕尾市,shanwei,441500,440000,CN,AS
Heyuan,河源市,heyuan,441600,440000,CN,AS
Yangjiang,阳江市,yangjiang,441700,440000,CN,AS
Qingyuan,清远市,qingyuan,441800,440000,CN,AS
Dongguan,东莞市,dongguan,441900,440000,CN,AS
Zhongshan,中山市,zhongshan,442000,440000,CN,AS
Chaozhou,潮州市,chaozhou,445100,440000,CN,AS
Jieyang,揭阳市,jieyang,445200,440000,CN,AS
Yunfu,云浮市,yunfu,445300,440000,CN,AS
