name_en,name_cn,name_pinyin,code,state_code,country_code,continent_code
Nanning,南宁市,nanning,450100,450000,CN,AS
Liuzhou,柳州市,liuzhou,450200,450000,CN,AS
Guilin,桂林市,guilin,450300,450000,CN,AS
Wuzhou,梧州市,wuzhou,450400,450000,CN,AS
Beihai,北海市,beihai,450500,450000,CN,AS
Fangchenggang,防城港市,fangchenggang,450600,450000,CN,AS
Qinzhou,钦州市,qinzhou,450700,450000,CN,AS
Guigang,贵港市,guigang,450800,450000,CN,AS
Yulin,玉林市,yulin,450900,450000,CN,AS
Baise,百色市,baise,451000,450000,CN,AS
Hezhou,贺州市,hezhou,451100,450000,CN,AS
Hechi,河池市,hechi,451200,450000,CN,AS
Laibin,来宾市,laibin,451300,450000,CN,AS
Chongzuo,崇左市,chongzuo,451400,450000,CN,AS
