name_en,name_cn,name_pinyin,code,state_code,country_code,continent_code
Shijiazhuang,石家庄市,shijiazhuang,130100,130000,CN,AS
Tangshan,唐山市,tangshan,130200,130000,CN,AS
Qinhuangdao,秦皇岛市,qinhuangdao,130300,130000,CN,AS
Handan,邯郸市,handan,130400,130000,CN,AS
Xingtai,邢台市,xingtai,130500,130000,CN,AS
Baoding,保定市,baoding,130600,130000,CN,AS
Zhangjiakou,张家口市,zhangjiakou,130700,130000,CN,AS
Chengde,承德市,chengde,130800,130000,CN,AS
Cangzhou,沧州市,cangzhou,130900,130000,CN,AS
Langfang,廊坊市,langfang,131000,130000,CN,AS
Hengshui,衡水市,hengshui,131100,130000,CN,AS
