name_en,name_cn,name_pinyin,code,state_code,country_code,continent_code
Harbin,哈尔滨市,haerbin,230100,230000,CN,AS
Qiqihar,齐齐哈尔市,qiqihaer,230200,230000,CN,AS
Jixi,鸡西市,jixi,230300,230000,CN,AS
Hegang,鹤岗市,hegang,230400,230000,CN,AS
Shuangyashan,双鸭山市,shuangyashan,230500,230000,CN,AS
Daqing,大庆市,daqing,230600,230000,CN,AS
Yichun,伊春市,yichun,230700,230000,CN,AS
Jiamusi,佳木斯市,jiamusi,230800,230000,CN,AS
Qitaihe,七台河市,qitaihe,230900,230000,CN,AS
Mudanjiang,牡丹江市,mudanjiang,231000,230000,CN,AS
Heihe,黑河市,heihe,231100,230000,CN,AS
Suihua,绥化市,suihua,231200,230000,CN,AS
Daxinganling,大兴安岭地区,daxinganling,232700,230000,CN,AS
