name_en,name_cn,name_pinyin,code,state_code,country_code,continent_code
Zhengzhou,郑州市,zhengzhou,410100,410000,CN,AS
Kaifeng,开封市,kaifeng,410200,410000,CN,AS
Luoyang,洛阳市,luoyang,410300,410000,CN,AS
Pingdingshan,平顶山市,pingdingshan,410400,410000,CN,AS
Anyang,安阳市,anyang,410500,410000,CN,AS
Hebi,鹤壁市,hebi,410600,410000,CN,AS
Xinxiang,新乡市,xinxiang,410700,410000,CN,AS
Jiaozuo,焦作市,jiaozuo,410800,410000,CN,AS
Puyang,濮阳市,puyang,410900,410000,CN,AS
Xuchang,许昌市,xuchang,411000,410000,CN,AS
Luohe,漯河市,luohe,411100,410000,CN,AS
Sanmenxia,三门峡市,sanmenxia,411200,410000,CN,AS
Nanyang,南阳市,nanyang,411300,410000,CN,AS
Shangqiu,商丘市,shangqiu,411400,410000,CN,AS
Xinyang,信阳市,xinyang,411500,410000,CN,AS
Zhoukou,周口市,zhoukou,411600,410000,CN,AS
Zhumadian,驻马店市,zhumadian,411700,410000,CN,AS
