name_en,name_cn,name_pinyin,code,state_code,country_code,continent_code
Wuhan,武汉市,wuhan,420100,420000,CN,AS
Huangshi,黄石市,huangshi,420200,420000,CN,AS
Shiyan,十堰市,shiyan,420300,420000,CN,AS
Yichang,宜昌市,yichang,420500,420000,CN,AS
Xiangyang,襄阳市,xiangyang,420600,420000,CN,AS
Ezhou,鄂州市,ezhou,420700,420000,CN,AS
Jingmen,荆门市,jingmen,420800,420000,CN,AS
Xiaogan,孝感市,xiaogan,420900,420000,CN,AS
Jingzhou,荆州市,jingzhou,421000,420000,CN,AS
Huanggang,黄冈市,huanggang,421100,420000,CN,AS
Xianning,咸宁市,xianning,421200,420000,CN,AS
Suizhou,随州市,suizhou,421300,420000,CN,AS
Enshi,恩施土家族苗族自治州,enshi,422800,420000,CN,AS
