name_en,name_cn,name_pinyin,code,state_code,country_code,continent_code
Changsha,长沙市,changsha,430100,430000,CN,AS
Zhuzhou,株洲市,zhuzhou,430200,430000,CN,AS
Xiangtan,湘潭市,xiangtan,430300,430000,CN,AS
Hengyang,衡阳市,hengyang,430400,430000,CN,AS
Shaoyang,邵阳市,shaoyang,430500,430000,CN,AS
Yueyang,岳阳市,yueyang,430600,430000,CN,AS
Changde,常德市,changde,430700,430000,CN,AS
Zhangjiajie,张家界市,zhangjiajie,430800,430000,CN,AS
Yiyang,益阳市,yiyang,430900,430000,CN,AS
Chenzhou,郴州市,chenzhou,431000,430000,CN,AS
Yongzhou,永州市,yongzhou,431100,430000,CN,AS
Huaihua,怀化市,huaihua,431200,430000,CN,AS
Loudi,娄底市,loudi,431300,430000,CN,AS
Xiangxi,湘西土家族苗族自治州,xiangxi,433100,430000,CN,AS
