name_en,name_cn,name_pinyin,code,state_code,country_code,continent_code
Hohhot,呼和浩特市,huhehaote,150100,150000,CN,AS
Baotou,包头市,baotou,150200,150000,CN,AS
Wuhai,乌海市,wuhai,150300,150000,CN,AS
Chifeng,赤峰市,chifeng,150400,150000,CN,AS
Tongliao,通辽市,tongliao,150500,150000,CN,AS
Ordos,鄂尔多斯市,eerduosi,150600,150000,CN,AS
Hulunbuir,呼伦贝尔市,hulunbeier,150700,150000,CN,AS
Bayannur,巴彦淖尔市,bayannaoer,150800,150000,CN,AS
Ulanqab,乌兰察布市,wulanchabu,150900,150000,CN,AS
Xilingol,锡林郭勒盟,xilingguole,152500,150000,CN,AS
Alxa,阿拉善盟,alashan,152900,150000,CN,AS
