name_en,name_cn,name_pinyin,code,state_code,country_code,continent_code
Nanjing,南京市,nanjing,320100,320000,CN,AS
Wuxi,无锡市,wuxi,320200,320000,CN,AS
Xuzhou,徐州市,xuzhou,320300,320000,CN,AS
Changzhou,常州市,changzhou,320400,320000,CN,AS
Suzhou,苏州市,suzhou,320500,320000,CN,AS
Nantong,南通市,nantong,320600,320000,CN,AS
Lianyungang,连云港市,lianyungang,320700,320000,CN,AS
Huaian,淮安市,huaian,320800,320000,CN,AS
Yancheng,盐城市,yancheng,320900,320000,CN,AS
Yangzhou,扬州市,yangzhou,321000,320000,CN,AS
Zhenjiang,镇江市,zhenjiang,321100,320000,CN,AS
Taizhou,泰州市,taizhou,321200,320000,CN,AS
Suqian,宿迁市,suqian,321300,320000,CN,AS
