name_en,name_cn,name_pinyin,code,state_code,country_code,continent_code
Nanchang,南昌市,nanchang,360100,360000,CN,AS
Jingdezhen,景德镇市,jingdezhen,360200,360000,CN,AS
Pingxiang,萍乡市,pingxiang,360300,360000,CN,AS
Jiujiang,九江市,jiujiang,360400,360000,CN,AS
Xinyu,新余市,xinyu,360500,360000,CN,AS
Yingtan,鹰潭市,yingtan,360600,360000,CN,AS
Ganzhou,赣州市,ganzhou,360700,360000,CN,AS
Jian,吉安市,jian,360800,360000,CN,AS
Yichun,宜春市,yichun,360900,360000,CN,AS
Fuzhou,抚州市,fuzhou,361000,360000,CN,AS
Shangrao,上饶市,shangrao,361100,360000,CN,AS
