name_en,name_cn,name_pinyin,code,state_code,country_code,continent_code
Shenyang,沈阳市,shenyang,210100,210000,CN,AS
Dalian,大连市,dalian,210200,210000,CN,AS
Anshan,鞍山市,anshan,210300,210000,CN,AS
Fushun,抚顺市,fushun,210400,210000,CN,AS
Benxi,本溪市,benxi,210500,210000,CN,AS
Dandong,丹东市,dandong,210600,210000,CN,AS
Jinzhou,锦州市,jinzhou,210700,210000,CN,AS
Yingkou,营口市,yingkou,210800,210000,CN,AS
Fuxin,阜新市,fuxin,210900,210000,CN,AS
Liaoyang,辽阳市,liaoyang,211000,210000,CN,AS
Panjin,盘锦市,panjin,211100,210000,CN,AS
Tieling,铁岭市,tieling,211200,210000,CN,AS
Chaoyang,朝阳市,chaoyang,211300,210000,CN,AS
Huludao,葫芦岛市,huludao,211400,210000,CN,AS
