name_en,name_cn,name_pinyin,code,state_code,country_code,continent_code
Taiyuan,太原市,taiyuan,140100,140000,CN,AS
Datong,大同市,datong,140200,140000,CN,AS
Yangquan,阳泉市,yangquan,140300,140000,CN,AS
Changzhi,长治市,changzhi,140400,140000,CN,AS
Jincheng,晋城市,jincheng,140500,140000,CN,AS
Shuozhou,朔州市,shuozhou,140600,140000,CN,AS
Jinzhong,晋中市,jinzhong,140700,140000,CN,AS
Yuncheng,运城市,yuncheng,140800,140000,CN,AS
Xinzhou,忻州市,xinzhou,140900,140000,CN,AS
Linfen,临汾市,linfen,141000,140000,CN,AS
Lvliang,吕梁市,lvliang,141100,140000,CN,AS
