name_en,name_cn,name_pinyin,code,state_code,country_code,continent_code
Jinan,济南市,jinan,370100,370000,CN,AS
Qingdao,青岛市,qingdao,370200,370000,CN,AS
Zibo,淄博市,zibo,370300,370000,CN,AS
Zaozhuang,枣庄市,zaozhuang,370400,370000,CN,AS
Dongying,东营市,dongying,370500,370000,CN,AS
Yantai,烟台市,yantai,370600,370000,CN,AS
Weifang,潍坊市,weifang,370700,370000,CN,AS
Jining,济宁市,jining,370800,370000,CN,AS
Taian,泰安市,taian,370900,370000,CN,AS
Weihai,威海市,weihai,371000,370000,CN,AS
Rizhao,日照市,rizhao,371100,370000,CN,AS
Laiwu,莱芜市,laiwu,371200,370000,CN,AS
Linyi,临沂市,linyi,371300,370000,CN,AS
Dezhou,德州市,dezhou,371400,370000,CN,AS
Liaocheng,聊城市,liaocheng,371500,370000,CN,AS
Binzhou,滨州市,binzhou,371600,370000,CN,AS
Heze,菏泽市,heze,371700,370000,CN,AS
