name_en,name_cn,name_pinyin,code,state_code,country_code,continent_code
Chengdu,成都市,chengdu,510100,510000,CN,AS
Zigong,自贡市,zigong,510300,510000,CN,AS
Panzhihua,攀枝花市,panzhihua,510400,510000,CN,AS
Luzhou,泸州市,luzhou,510500,510000,CN,AS
Deyang,德阳市,deyang,510600,510000,CN,AS
Mianyang,绵阳市,mianyang,510700,510000,CN,AS
Guangyuan,广元市,guangyuan,510800,510000,CN,AS
Suining,遂宁市,suining,510900,510000,CN,AS
Neijiang,内江市,neijiang,511000,510000,CN,AS
Leshan,乐山市,leshan,511100,510000,CN,AS
Nanchong,南充市,nanchong,511300,510000,CN,AS
Meishan,眉山市,meishan,511400,510000,CN,AS
Yibin,宜宾市,yibin,511500,510000,CN,AS
Guangan,广安市,guangan,511600,510000,CN,AS
Dazhou,达州市,dazhou,511700,510000,CN,AS
Yaan,雅安市,yaan,511800,510000,CN,AS
Bazhong,巴中市,bazhong,511900,510000,CN,AS
Ziyang,资阳市,ziyang,512000,510000,CN,AS
Aba,阿坝藏族羌族自治州,aba,513200,510000,CN,AS
Garze,甘孜藏族自治州,garze,513300,510000,CN,AS
Liangshan,凉山彝族自治州,liangshan,513400,510000,CN,AS
