name_en,name_cn,name_pinyin,code,state_code,country_code,continent_code
Urumqi,乌鲁木齐市,urumqi,650100,650000,CN,AS
Karamay,克拉玛依市,karamay,650200,650000,CN,AS
Turpan,吐鲁番市,turpan,650400,650000,CN,AS
Hami,哈密市,hami,650500,650000,CN,AS
Changji,昌吉回族自治州,changji,652300,650000,CN,AS
Bortala,博尔塔拉蒙古自治州,bortala,652700,650000,CN,AS
Bayingolin,巴音郭楞蒙古自治州,bayingolin,652800,650000,CN,AS
Aksu,阿克苏地区,aksu,652900,650000,CN,AS
Kizilsu,克孜勒苏柯尔克孜自治州,kizilsu,653000,650000,CN,AS
Kashgar,喀什地区,kashgar,653100,650000,CN,AS
Hotan,和田地区,hotan,653200,650000,CN,AS
Ili,伊犁哈萨克自治州,ili,654000,650000,CN,AS
Tacheng,塔城地区,tacheng,654200,650000,CN,AS
Altay,阿勒泰地区,altay,654300,650000,CN,AS
