name_en,name_cn,name_pinyin,code,state_code,country_code,continent_code
Kunming,昆明市,kunming,530100,530000,CN,AS
Qujing,曲靖市,qujing,530300,530000,CN,AS
Yuxi,玉溪市,yuxi,530400,530000,CN,AS
Baoshan,保山市,baoshan,530500,530000,CN,AS
Zhaotong,昭通市,zhaotong,530600,530000,CN,AS
Lijiang,丽江市,lijiang,530700,530000,CN,AS
Puer,普洱市,puer,530800,530000,CN,AS
Lincang,临沧市,lincang,530900,530000,CN,AS
Chuxiong,楚雄彝族自治州,chuxiong,532300,530000,CN,AS
Honghe,红河哈尼族彝族自治州,honghe,532500,530000,CN,AS
Wenshan,文山壮族苗族自治州,wenshan,532600,530000,CN,AS
Xishuangbanna,西双版纳傣族自治州,xishuangbanna,532800,530000,CN,AS
Dali,大理白族自治州,dali,532900,530000,CN,AS
Dehong,德宏傣族景颇族自治州,dehong,533100,530000,CN,AS
Nujiang,怒江傈僳族自治州,nujiang,533300,530000,CN,AS
Diqing,迪庆藏族自治州,diqing,533400,530000,CN,AS
