name_en,name_cn,name_pinyin,code,state_code,country_code,continent_code
Hangzhou,杭州市,hangzhou,330100,330000,CN,AS
Ningbo,宁波市,ningbo,330200,330000,CN,AS
Wenzhou,温州市,wenzhou,330300,330000,CN,AS
Jiaxing,嘉兴市,jiaxing,330400,330000,CN,AS
Huzhou,湖州市,huzhou,330500,330000,CN,AS
Shaoxing,绍兴市,shaoxing,330600,330000,CN,AS
Jinhua,金华市,jinhua,330700,330000,CN,AS
Quzhou,衢州市,quzhou,330800,330000,CN,AS
Zhoushan,舟山市,zhoushan,330900,330000,CN,AS
Taizhou,台州市,taizhou,331000,330000,CN,AS
Lishui,丽水市,lishui,331100,330000,CN,AS
