code,name,name_ascii,geonameid,iso,id,name_cn
AF.28,Zabul,Zabul,1121143,AF,28,扎布尔省
AF.27,Maidan Wardak Province,Maidan Wardak Province,1121863,AF,27,迈丹瓦尔达克省
AF.26,Takhar,Takhar,1123230,AF,26,塔哈尔省
AF.33,Sar-e Pol Province,Sar-e Pol Province,1127106,AF,33,萨尔普勒省
AF.32,Samangan,Samangan,1127766,AF,32,萨曼甘省
AF.40,Parwan,Parwan,1131054,AF,40,帕尔万省
AF.29,Paktika,Paktika,1131256,AF,29,帕克蒂卡省
AF.36,Paktia,Paktia,1131257,AF,36,帕克蒂亚省
AF.39,Oruzgan,Oruzgan,1131461,AF,39,乌鲁兹甘省
AF.19,Nimroz,Nimroz,1131821,AF,19,尼姆罗兹省
AF.18,Nangarhar,Nangarhar,1132366,AF,18,楠格哈尔省
AF.17,Logar,Logar,1134561,AF,17,洛加尔省
AF.35,Laghman,Laghman,1135022,AF,35,拉格曼省
AF.24,Kunduz,Kunduz,1135690,AF,24,昆都士省
AF.34,Kunar,Kunar,1135702,AF,34,库纳尔省
AF.14,Kapisa,Kapisa,1138255,AF,14,卡比萨省
AF.23,Kandahar,Kandahar,1138335,AF,23,坎大哈省
AF.13,Kabul,Kabul,1138957,AF,13,喀布尔省
AF.31,Jowzjan,Jowzjan,1139049,AF,31,朱兹詹省
AF.11,Herat,Herat,1140025,AF,11,赫拉特省
AF.10,Helmand,Helmand,1140043,AF,10,赫尔曼德省
AF.09,Ghowr,Ghowr,1141103,AF,9,古尔省
AF.08,Ghazni,Ghazni,1141268,AF,8,加兹尼省
AF.07,Faryab,Faryab,1142226,AF,7,法利亚布省
AF.06,Farah,Farah,1142263,AF,6,法拉省
AF.05,Bamyan,Bamyan,1147239,AF,5,巴米扬省
AF.30,Balkh,Balkh,1147288,AF,30,巴尔赫省
AF.03,Baghlan,Baghlan,1147537,AF,3,巴格兰省
AF.02,Badghis,Badghis,1147707,AF,2,巴德吉斯省
AF.01,Badakhshan,Badakhshan,1147745,AF,1,巴达赫尚省
AF.37,Khowst,Khowst,1444362,AF,37,霍斯特省
AF.38,Nuristan,Nuristan,1444363,AF,38,努尔斯坦省
AF.41,Daykundi,Daykundi,6957553,AF,41,代孔迪省
AF.42,Panjshir,Panjshir,6957555,AF,42,潘杰希尔省
