code,name,name_ascii,geonameid,iso,id,name_cn
AI.11205389,Blowing Point,Blowing Point,11205389,AI,11205389,布洛英角
AI.11205392,Sandy Ground,Sandy Ground,11205392,AI,11205392,桑迪格朗德
AI.11205393,Sandy Hill,Sandy Hill,11205393,AI,11205393,桑迪希尔
AI.11205396,The Valley,The Valley,11205396,AI,11205396,山谷镇
AI.11205433,East End,East End,11205433,AI,11205433,东区
AI.11205436,North Hill,North Hill,11205436,AI,11205436,北丘
AI.11205437,West End,West End,11205437,AI,11205437,西区
AI.11205438,South Hill,South Hill,11205438,AI,11205438,南丘
AI.11205439,The Quarter,The Quarter,11205439,AI,11205439,夸特区
AI.11205440,North Side,North Side,11205440,AI,11205440,北侧
AI.11205441,Island Harbour,Island Harbour,11205441,AI,11205441,岛屿港
AI.11205442,George Hill,George Hill,11205442,AI,11205442,乔治希尔
AI.11205443,Stoney Ground,Stoney Ground,11205443,AI,11205443,石地镇
AI.11205444,The Farrington,The Farrington,11205444,AI,11205444,法灵顿
