code,name,name_ascii,geonameid,iso,id,name_cn
AL.40,Berat County,Berat County,865730,AL,40,
AL.41,Dibër County,Diber County,865731,AL,41,
AL.43,Elbasan County,Elbasan County,865732,AL,43,
AL.45,Gjirokastër County,Gjirokaster County,865733,AL,45,
AL.46,Korçë County,Korce County,865734,AL,46,
AL.47,Kukës County,Kukes County,865735,AL,47,
AL.42,Durrës County,Durres County,3344947,AL,42,
AL.44,Fier County,Fier County,3344948,AL,44,
AL.48,Lezhë County,Lezhe County,3344949,AL,48,
AL.49,Shkodër County,Shkoder County,3344950,AL,49,
AL.50,Tirana,Tirana,3344951,AL,50,
AL.51,Vlorë County,Vlore County,3344952,AL,51,
