code,name,name_ascii,geonameid,iso,id,name_cn
AO.18,Lunda Sul,Lunda Sul,145701,AO,18,南隆达省
AO.17,Luanda Norte,Luanda Norte,145702,AO,17,北隆达省
AO.14,Moxico,Moxico,875996,AO,14,莫希科省
AO.04,Cuando Cobango,Cuando Cobango,876337,AO,4,宽多库邦戈省
AO.16,Zaire,Zaire,2236355,AO,16,萨伊省
AO.15,Uíge,Uige,2236566,AO,15,威热省
AO.12,Malanje,Malanje,2239858,AO,12,马兰热省
AO.20,Luanda,Luanda,2240444,AO,20,罗安达省
AO.05,Cuanza Norte,Cuanza Norte,2241660,AO,5,北宽扎省
AO.03,Cabinda,Cabinda,2243266,AO,3,卡宾达省
AO.19,Bengo,Bengo,2243598,AO,19,本戈省
AO.13,Namibe,Namibe,3347016,AO,13,纳米贝省
AO.09,Huíla,Huila,3348303,AO,9,威拉省
AO.08,Huambo,Huambo,3348310,AO,8,万博省
AO.07,Cunene,Cunene,3349096,AO,7,库内内省
AO.06,Kwanza Sul,Kwanza Sul,3349234,AO,6,南宽扎省
AO.02,Bíe,Bie,3351640,AO,2,比耶省
AO.01,Benguela,Benguela,3351660,AO,1,本格拉省
