code,name,name_ascii,geonameid,iso,id,name_cn
AZ.12,Beyləqan,Beylaqan,146879,AZ,12,
AZ.69,Zangilan District,Zangilan District,146900,AZ,69,赞格兰区
AZ.66,Yardimli District,Yardimli District,146962,AZ,66,亚尔德姆雷区
AZ.55,Shusha,Shusha,147163,AZ,55,
AZ.49,Salyan District,Salyan District,147269,AZ,49,萨利扬区
AZ.46,Sabirabad District,Sabirabad District,147284,AZ,46,萨比拉巴德区
AZ.45,Saatlı,Saatli,147287,AZ,45,
AZ.13,Bilasuvar District,Bilasuvar District,147310,AZ,13,比利亚苏瓦尔区
AZ.36,Neftçala,Neftcala,147422,AZ,36,
AZ.35,Nakhichevan ASSR,Nakhichevan ASSR,147435,AZ,35,纳希切万自治共和国
AZ.32,Masally,Masally,147551,AZ,32,马萨雷区
AZ.31,Lerik District,Lerik District,147610,AZ,31,列里克区
AZ.29,Lənkəran,Lankaran,147613,AZ,29,
AZ.28,Laçın,Lacin,147626,AZ,28,
AZ.43,Qubadlı,Qubadli,147694,AZ,43,
AZ.24,İmişli,Imisli,147983,AZ,24,
AZ.18,Fuzuli District,Fuzuli District,148107,AZ,18,菲祖利区
AZ.14,Jabrayil,Jabrayil,148140,AZ,14,杰布拉伊尔区
AZ.15,Jalilabad,Jalilabad,148155,AZ,15,贾利拉巴德区
AZ.08,Astara,Astara,148442,AZ,8,阿斯塔拉区
AZ.64,Xocalı,Xocali,148449,AZ,64,
AZ.02,Ağcabǝdi,Aghjabadi Rayon,148615,AZ,2,
AZ.03,Ağdam,Agdam,148617,AZ,3,
AZ.07,Shirvan,Shirvan,409417,AZ,7,
AZ.30,Lankaran Sahari,Lankaran Sahari,409418,AZ,30,
AZ.56,Shusha City,Shusha City,409419,AZ,56,
AZ.57,Tartar District,Tartar District,409420,AZ,57,泰尔泰尔区
AZ.61,Xankǝndi,Xankandi Sahari,409421,AZ,61,
AZ.65,Khojavend,Khojavend,409423,AZ,65,霍贾文德区
AZ.71,Zərdab,Zardab,584583,AZ,71,
AZ.70,Zaqatala District,Zaqatala District,584604,AZ,70,扎卡塔雷区
AZ.67,Yevlax,Yevlax,584650,AZ,67,
AZ.37,Oğuz,Oguz,584742,AZ,37,
AZ.59,Ucar,Ucar,584783,AZ,59,
AZ.58,Tovuz District,Tovuz District,584861,AZ,58,塔乌兹区
AZ.50,Şamaxı,Samaxi,585030,AZ,50,
AZ.47,Shaki,Shaki,585031,AZ,47,
AZ.51,Şǝmkir,Shamkir Rayon,585059,AZ,51,
AZ.27,Kurdamir District,Kurdamir District,585686,AZ,27,丘尔达米尔区
AZ.38,Qabala District,Qabala District,585738,AZ,38,盖贝莱区
AZ.44,Qusar District,Qusar District,585749,AZ,44,库萨雷区
AZ.42,Quba,Quba,585786,AZ,42,
AZ.62,Goygol Rayon,Goygol Rayon,585967,AZ,62,
AZ.60,Xaçmaz,Xacmaz,586001,AZ,60,
AZ.26,Kalbajar,Kalbajar,586047,AZ,26,克尔巴贾尔区
AZ.40,Qazax,Qazax,586087,AZ,40,
AZ.21,Goranboy District,Goranboy District,586112,AZ,21,戈兰博伊区
AZ.39,Qax,Qax,586290,AZ,39,
AZ.25,Ismayilli District,Ismayilli District,586320,AZ,25,伊斯梅尔雷区
AZ.22,Göyçay,Goeycay,586482,AZ,22,
AZ.17,Shabran,Shabran,586725,AZ,17,迪维奇区
AZ.16,Daşkǝsǝn,Dashkasan Rayon,586771,AZ,16,
AZ.10,Balakan District,Balakan District,587010,AZ,10,巴拉肯区
AZ.11,Barda,Barda,587056,AZ,11,巴尔达区
AZ.09,Baki,Baki,587081,AZ,9,
AZ.01,Abşeron,Abseron,587245,AZ,1,
AZ.06,Agsu District,Agsu District,587342,AZ,6,阿赫苏区
AZ.04,Ağdaş,Agdas,587376,AZ,4,
AZ.19,Gadabay District,Gadabay District,627535,AZ,19,凯达贝克区
AZ.05,Ağstafa,Agstafa,828297,AZ,5,
AZ.20,Gǝncǝ,Ganja City,828298,AZ,20,
AZ.33,Mingǝcevir,Mingacevir City,828299,AZ,33,
AZ.34,Naftalan,Naftalan,828300,AZ,34,
AZ.41,Qobustan,Qobustan,828301,AZ,41,
AZ.52,Samux,Samux,828302,AZ,52,
AZ.48,Shaki City,Shaki City,828303,AZ,48,
AZ.53,Siyǝzǝn,Siazan Rayon,828304,AZ,53,
AZ.54,Sumqayit,Sumqayit,828305,AZ,54,
AZ.63,Xızı,Xizi,828306,AZ,63,
AZ.68,Yevlax City,Yevlax City,828307,AZ,68,
AZ.23,Hacıqabul,Haciqabul,828315,AZ,23,
