code,name,name_ascii,geonameid,iso,id,name_cn
BB.11,Saint Thomas,Saint Thomas,3373551,BB,11,圣托马斯区
BB.10,Saint Philip,Saint Philip,3373553,BB,10,圣菲利普区
BB.09,Saint Peter,Saint Peter,3373554,BB,9,圣彼得教区
BB.08,Saint Michael,Saint Michael,3373557,BB,8,圣迈克尔区
BB.07,Saint Lucy,Saint Lucy,3373565,BB,7,圣露西教区
BB.06,Saint Joseph,Saint Joseph,3373568,BB,6,圣约瑟夫区
BB.05,Saint John,Saint John,3373569,BB,5,圣约翰教区
BB.04,Saint James,Saint James,3373570,BB,4,圣詹姆斯教区
BB.03,Saint George,Saint George,3373572,BB,3,圣乔治教区
BB.02,Saint Andrew,Saint Andrew,3373580,BB,2,圣安德鲁区
BB.01,Christ Church,Christ Church,3373988,BB,1,基督城教区
