code,name,name_ascii,geonameid,iso,id,name_cn
BF.01,Boucle du Mouhoun,Boucle du Mouhoun,6930701,BF,1,布克莱迪穆翁大区
BF.02,Cascades Region,Cascades Region,6930703,BF,2,瀑布大区
BF.03,Centre,Centre,6930704,BF,3,中央大区
BF.04,Centre-Est,Centre-Est,6930705,BF,4,中东大区
BF.05,Centre-Nord,Centre-Nord,6930706,BF,5,中北大区
BF.06,Centre-Ouest,Centre-Ouest,6930707,BF,6,中西大区
BF.07,Centre-Sud,Centre-Sud,6930708,BF,7,中南大区
BF.08,Est,Est,6930709,BF,8,东部大区
BF.09,Hauts-Bassins,Hauts-Bassins,6930710,BF,9,上盆地大区
BF.10,Nord,Nord,6930711,BF,10,北部大区
BF.11,Plateau-Central,Plateau-Central,6930712,BF,11,高原-中部大区
BF.12,Sahel,Sahel,6930713,BF,12,萨赫勒大区
BF.13,Sud-Ouest,Sud-Ouest,6930714,BF,13,西南大区
