code,name,name_ascii,geonameid,iso,id,name_cn
BG.52,Razgrad,Razgrad,453751,BG,52,
BG.47,Montana,Montana,453753,BG,47,
BG.64,Vratsa,Vratsa,725713,BG,64,
BG.61,Varna,Varna,726051,BG,61,
BG.40,Dobrich,Dobrich,726419,BG,40,
BG.58,Sofia,Sofia,727012,BG,58,索菲亞州
BG.53,Ruse,Ruse,727524,BG,53,
BG.51,Plovdiv,Plovdiv,728194,BG,51,
BG.50,Pleven,Pleven,728204,BG,50,
BG.49,Pernik,Pernik,728331,BG,49,
BG.48,Pazardzhik,Pazardzhik,728379,BG,48,
BG.46,Lovech,Lovech,729560,BG,46,
BG.43,Haskovo,Haskovo,730436,BG,43,
BG.42,Sofia-Capital,Sofia-Capital,731061,BG,42,
BG.39,Burgas,Burgas,732771,BG,39,
BG.38,Blagoevgrad,Blagoevgrad,733192,BG,38,
BG.41,Gabrovo,Gabrovo,864552,BG,41,加布羅沃州
BG.44,Kardzhali,Kardzhali,864553,BG,44,
BG.45,Kyustendil,Kyustendil,864554,BG,45,
BG.54,Shumen,Shumen,864555,BG,54,
BG.55,Silistra,Silistra,864556,BG,55,
BG.56,Sliven,Sliven,864557,BG,56,
BG.57,Smolyan,Smolyan,864558,BG,57,
BG.59,Stara Zagora,Stara Zagora,864559,BG,59,
BG.60,Targovishte,Targovishte,864560,BG,60,
BG.62,Veliko Tarnovo,Veliko Tarnovo,864561,BG,62,
BG.63,Vidin,Vidin,864562,BG,63,
BG.65,Yambol,Yambol,864563,BG,65,
