code,name,name_ascii,geonameid,iso,id,name_cn
BI.17,Makamba,Makamba,422233,BI,17,马坎巴省
BI.10,Bururi,Bururi,423327,BI,10,布鲁里省
BI.22,Muramvya,Muramvya,425550,BI,22,穆拉姆维亚省
BI.13,Gitega,Gitega,426271,BI,13,基特加省
BI.21,Ruyigi,Ruyigi,426699,BI,21,鲁伊吉省
BI.11,Cankuzo,Cankuzo,427700,BI,11,坎库佐省
BI.14,Karuzi,Karuzi,428218,BI,14,卡鲁济省
BI.09,Bubanza,Bubanza,428514,BI,9,布班扎省
BI.12,Cibitoke,Cibitoke,430020,BI,12,锡比托凯省
BI.19,Ngozi,Ngozi,430567,BI,19,恩戈齐省
BI.15,Kayanza,Kayanza,430951,BI,15,卡扬扎省
BI.18,Muyinga,Muyinga,431747,BI,18,穆因加省
BI.16,Kirundo,Kirundo,432455,BI,16,基龙多省
BI.20,Rutana,Rutana,434147,BI,20,鲁塔纳省
BI.23,Mwaro,Mwaro,434386,BI,23,穆瓦洛省
BI.24,Bujumbura Mairie,Bujumbura Mairie,7303939,BI,24,布琼布拉市省
BI.25,Bujumbura Rural,Bujumbura Rural,7303940,BI,25,布松布拉乡村省
BI.26,Rumonge,Rumonge,11184798,BI,26,鲁蒙盖省
