code,name,name_ascii,geonameid,iso,id,name_cn
BJ.18,Zou,Zou,2390719,BJ,18,祖省
BJ.16,Ouémé,Oueme,2392325,BJ,16,韦梅省
BJ.15,Mono,Mono,2392716,BJ,15,莫诺省
BJ.10,Borgou,Borgou,2394992,BJ,10,博尔古省
BJ.09,Atlantique,Atlantique,2395504,BJ,9,大西洋省
BJ.08,Atakora,Atakora,2395524,BJ,8,阿塔科拉省
BJ.07,Alibori,Alibori,2597271,BJ,7,阿黎博里省
BJ.11,Collines,Collines,2597272,BJ,11,丘陵省
BJ.12,Kouffo,Kouffo,2597273,BJ,12,库福省
BJ.13,Donga,Donga,2597274,BJ,13,峡谷省
BJ.14,Littoral,Littoral,2597275,BJ,14,滨海省
BJ.17,Plateau,Plateau,2597277,BJ,17,高原省
