code,name,name_ascii,geonameid,iso,id,name_cn
BM.11,Warwick,Warwick,3572972,BM,11,
BM.10,Southampton,Southampton,3573026,BM,10,
BM.09,Smithʼs,Smith's Parish,3573031,BM,9,
BM.08,Sandys,Sandys,3573050,BM,8,
BM.07,Saint Georgeʼs,Saint George's Parish,3573057,BM,7,
BM.06,Saint George,Saint George,3573062,BM,6,
BM.05,Pembroke,Pembroke,3573095,BM,5,
BM.04,Paget,Paget,3573103,BM,4,
BM.02,Hamilton,Hamilton,3573195,BM,2,
BM.03,Hamilton city,Hamilton city,3573198,BM,3,
BM.01,Devonshire,Devonshire,3573251,BM,1,
