code,name,name_ascii,geonameid,iso,id,name_cn
BR.22,Rio Grande do Norte,Rio Grande do Norte,3390290,BR,22,北里奥格兰德州
BR.20,Piauí,Piaui,3392213,BR,20,皮奥伊州
BR.30,Pernambuco,Pernambuco,3392268,BR,30,伯南布哥州
BR.17,Paraíba,Paraiba,3393098,BR,17,帕拉伊巴州
BR.16,Pará,Para,3393129,BR,16,帕拉州
BR.13,Maranhão,Maranhao,3395443,BR,13,马拉尼昂州
BR.06,Ceará,Ceara,3402362,BR,6,塞阿拉州
BR.03,Amapá,Amapa,3407762,BR,3,阿马帕州
BR.02,Alagoas,Alagoas,3408096,BR,2,阿拉戈斯州
BR.28,Sergipe,Sergipe,3447799,BR,28,塞尔希培州
BR.27,São Paulo,Sao Paulo,3448433,BR,27,圣保罗州
BR.26,Santa Catarina,Santa Catarina,3450387,BR,26,圣卡塔琳娜州
BR.23,Rio Grande do Sul,Rio Grande do Sul,3451133,BR,23,南里奥格兰德州
BR.21,Rio de Janeiro,Rio de Janeiro,3451189,BR,21,里约热内卢州
BR.18,Paraná,Parana,3455077,BR,18,巴拉那州
BR.15,Minas Gerais,Minas Gerais,3457153,BR,15,米纳斯吉拉斯州
BR.11,Mato Grosso do Sul,Mato Grosso do Sul,3457415,BR,11,南马托格罗索州
BR.14,Mato Grosso,Mato Grosso,3457419,BR,14,马托格罗索州
BR.29,Goiás,Goias,3462372,BR,29,戈亚斯州
BR.07,Federal District,Federal District,3463504,BR,7,联邦区
BR.08,Espírito Santo,Espirito Santo,3463930,BR,8,聖埃斯皮里圖州
BR.05,Bahia,Bahia,3471168,BR,5,巴伊亚州
BR.31,Tocantins,Tocantins,3474575,BR,31,托坎廷斯
BR.25,Roraima,Roraima,3662560,BR,25,罗赖马州
BR.04,Amazonas,Amazonas,3665361,BR,4,亚马孙州
BR.01,Acre,Acre,3665474,BR,1,阿克里州
BR.24,Rondônia,Rondonia,3924825,BR,24,朗多尼亚州
