code,name,name_ascii,geonameid,iso,id,name_cn
BT.05,Bumthang District,Bumthang District,1337278,BT,5,
BT.06,Chukha,Chukha,1337279,BT,6,
BT.08,Dagana,Dagana,1337280,BT,8,
BT.07,Tsirang District,Tsirang District,1337281,BT,7,
BT.09,Sarpang District,Sarpang District,1337282,BT,9,
BT.10,Haa,Haa,1337283,BT,10,
BT.11,Lhuntse,Lhuntse,1337284,BT,11,
BT.12,Mongar,Mongar,1337285,BT,12,
BT.13,Paro,Paro,1337286,BT,13,
BT.14,Pemagatshel,Pemagatshel,1337287,BT,14,
BT.15,Punakha,Punakha,1337288,BT,15,
BT.16,Samtse District,Samtse District,1337289,BT,16,
BT.17,Samdrup Jongkhar,Samdrup Jongkhar,1337290,BT,17,
BT.18,Zhemgang District,Zhemgang District,1337291,BT,18,
BT.19,Trashigang District,Trashigang District,1337292,BT,19,
BT.20,Thimphu District,Thimphu District,1337293,BT,20,
BT.21,Tongsa,Tongsa,1337294,BT,21,
BT.22,Wangdi Phodrang,Wangdi Phodrang,1337295,BT,22,
BT.23,Gasa,Gasa,7303651,BT,23,
BT.24,Trashi Yangste,Trashi Yangste,7303653,BT,24,
