code,name,name_ascii,geonameid,iso,id,name_cn
BW.10,Ngwaketsi,Ngwaketsi,933043,BW,10,南部区
BW.09,South-East,South-East,933044,BW,9,东南区
BW.08,North-East,North-East,933210,BW,8,东北区
BW.11,North-West,North-West,933230,BW,11,西北区
BW.06,Kweneng,Kweneng,933562,BW,6,奎嫩区
BW.05,Kgatleng,Kgatleng,933654,BW,5,卡特伦区
BW.04,Kgalagadi,Kgalagadi,933657,BW,4,卡拉哈迪区
BW.03,Ghanzi,Ghanzi,933758,BW,3,杭济区
BW.12,Chobe,Chobe,933840,BW,12,乔贝区
BW.01,Central,Central,933851,BW,1,中部区
BW.13,City of Francistown,City of Francistown,11778168,BW,13,弗朗西斯敦市
BW.14,Gaborone,Gaborone,11778169,BW,14,哈博罗内
BW.15,Jwaneng,Jwaneng,11778170,BW,15,朱瓦能
BW.16,Lobatse,Lobatse,11778171,BW,16,洛巴策
BW.17,Selibe Phikwe,Selibe Phikwe,11778172,BW,17,塞雷茨比奎
BW.18,Sowa Town,Sowa Town,11778173,BW,18,索瓦镇
