code,name,name_ascii,geonameid,iso,id,name_cn
CA.01,Alberta,Alberta,5883102,CA,1,阿尔伯塔
CA.02,British Columbia,British Columbia,5909050,CA,2,不列颠哥伦比亚
CA.03,Manitoba,Manitoba,6065171,CA,3,曼尼托巴
CA.04,New Brunswick,New Brunswick,6087430,CA,4,新斯科舍省
CA.13,Northwest Territories,Northwest Territories,6091069,CA,13,西北地区
CA.07,Nova Scotia,Nova Scotia,6091530,CA,7,新斯科舍
CA.14,Nunavut,Nunavut,6091732,CA,14,努纳武特地区
CA.08,Ontario,Ontario,6093943,CA,8,安大略
CA.09,Prince Edward Island,Prince Edward Island,6113358,CA,9,爱德华王子岛省
CA.10,Quebec,Quebec,6115047,CA,10,魁北克省
CA.11,Saskatchewan,Saskatchewan,6141242,CA,11,萨斯喀彻温省
CA.12,Yukon,Yukon,6185811,CA,12,育空地区
CA.05,Newfoundland and Labrador,Newfoundland and Labrador,6354959,CA,5,纽芬兰与拉布拉多省
