code,name,name_ascii,geonameid,iso,id,name_cn
CD.31,Tshuapa,Tshuapa,204697,CD,31,楚阿帕省
CD.30,Tshopo,Tshopo,204704,CD,30,乔波省
CD.29,Tanganyika,Tanganyika,205253,CD,29,坦噶尼喀省
CD.12,South Kivu,South Kivu,205413,CD,12,南基伍省
CD.27,Sankuru,Sankuru,205828,CD,27,桑库鲁省
CD.11,Nord Kivu,Nord Kivu,206938,CD,11,北基伍省
CD.25,Mongala,Mongala,208741,CD,25,蒙加拉省
CD.10,Maniema,Maniema,209610,CD,10,马涅马省
CD.23,Kasai-Central,Kasai-Central,210596,CD,23,卢卢阿省
CD.04,Kasaï-Oriental,Kasai-Oriental,214138,CD,4,
CD.18,Kasai,Kasai,214140,CD,18,
CD.17,Ituri,Ituri,215709,CD,17,伊图里省
CD.16,Haut-Uele,Haut-Uele,216140,CD,16,上韦莱省
CD.15,Haut-Lomami,Haut-Lomami,216141,CD,15,
CD.02,Équateur,Equateur,216661,CD,2,赤道省
CD.13,Bas-Uele,Bas-Uele,219402,CD,13,下韦莱省
CD.22,Lualaba,Lualaba,922727,CD,22,
CD.24,Mai-Ndombe,Mai-Ndombe,2313191,CD,24,马伊恩东贝省
CD.20,Kwilu,Kwilu,2313847,CD,20,奎卢省
CD.19,Kwango,Kwango,2313860,CD,19,
CD.06,Kinshasa,Kinshasa,2314300,CD,6,
CD.08,Bas-Congo,Bas-Congo,2317277,CD,8,
CD.14,Haut-Katanga,Haut-Katanga,11288213,CD,14,
CD.21,Lomami,Lomami,11288214,CD,21,
CD.26,Nord-Ubangi,Nord-Ubangi,11288215,CD,26,
CD.28,Sud-Ubangi,Sud-Ubangi,11288216,CD,28,
