code,name,name_ascii,geonameid,iso,id,name_cn
CF.14,Vakaga,Vakaga,236178,CF,14,瓦卡加省
CF.11,Ouaka,Ouaka,236887,CF,11,瓦卡省
CF.08,Mbomou,Mbomou,237556,CF,8,姆博穆省
CF.05,Haut-Mbomou,Haut-Mbomou,238639,CF,5,上姆博穆省
CF.03,Haute-Kotto,Haute-Kotto,238640,CF,3,上科托省
CF.02,Basse-Kotto,Basse-Kotto,240396,CF,2,下科托省
CF.01,Bamingui-Bangoran,Bamingui-Bangoran,240591,CF,1,巴明吉-班戈兰省
CF.16,Sangha-Mbaéré,Sangha-Mbaere,2383204,CF,16,桑加-姆巴埃雷省
CF.13,Ouham-Pendé,Ouham-Pende,2383650,CF,13,瓦姆-彭代省
CF.12,Ouham,Ouham,2383653,CF,12,瓦姆省
CF.17,Ombella-M'Poko,Ombella-M'Poko,2383765,CF,17,翁贝拉－姆波科省
CF.09,Nana-Mambéré,Nana-Mambere,2384205,CF,9,纳纳-曼贝雷省
CF.07,Lobaye,Lobaye,2385105,CF,7,洛巴耶省
CF.06,Kémo,Kemo,2385836,CF,6,凯莫省
CF.04,Mambéré-Kadéï,Mambere-Kadei,2386161,CF,4,曼贝雷-卡代省
CF.15,Nana-Grébizi,Nana-Grebizi,2386243,CF,15,
CF.18,Bangui,Bangui,2596686,CF,18,
CF.19,Mambéré,Mambere,12902745,CF,19,
CF.20,Ouham-Fafa,Ouham-Fafa,12902746,CF,20,
CF.21,Lim-Pendé,Lim-Pende,12902747,CF,21,
