code,name,name_ascii,geonameid,iso,id,name_cn
CG.10,Sangha,Sangha,2255329,CG,10,桑加省
CG.11,Pool,Pool,2255404,CG,11,普尔省
CG.08,Plateaux,Plateaux,2255422,CG,8,高原省
CG.07,Niari,Niari,2256175,CG,7,尼阿里省
CG.06,Likouala,Likouala,2258431,CG,6,利夸拉省
CG.05,Lékoumou,Lekoumou,2258534,CG,5,莱库穆省
CG.04,Kouilou,Kouilou,2258738,CG,4,奎卢省
CG.13,Cuvette,Cuvette,2260487,CG,13,盆地省
CG.01,Bouenza,Bouenza,2260668,CG,1,布恩扎省
CG.12,Brazzaville,Brazzaville,2572183,CG,12,
CG.14,Cuvette-Ouest,Cuvette-Ouest,2593118,CG,14,西盆地省
CG.15,Pointe-Noire,Pointe-Noire,7280295,CG,15,
