code,name,name_ascii,geonameid,iso,id,name_cn
CI.98,Yamoussoukro,Yamoussoukro,10629377,CI,98,
CI.76,Bas-Sassandra District,Bas-Sassandra District,11153052,CI,76,下薩桑德拉區
CI.94,Comoé District,Comoe District,11153053,CI,94,
CI.77,Denguélé District,Denguele District,11153054,CI,77,登蓋萊區
CI.95,Gôh-Djiboua,Goh-Djiboua,11153055,CI,95,
CI.81,Lacs District,Lacs District,11153056,CI,81,湖泊區
CI.82,Lagunes District,Lagunes District,11153057,CI,82,潟湖區
CI.78,Montagnes,Montagnes,11153058,CI,78,
CI.96,Sassandra-Marahoué,Sassandra-Marahoue,11153059,CI,96,
CI.87,Savanes District,Savanes District,11153060,CI,87,薩瓦內區
CI.90,Vallée du Bandama District,Vallee du Bandama District,11153061,CI,90,邦達馬河谷區
CI.97,Woroba,Woroba,11153062,CI,97,
CI.92,Zanzan District,Zanzan District,11153063,CI,92,贊贊區
CI.93,Abidjan Autonomous District,Abidjan Autonomous District,11153151,CI,93,
