code,name,name_ascii,geonameid,iso,id,name_cn
CK.11695124,Aitutaki,Aitutaki,11695124,CK,11695124,
CK.11695126,Atiu,Atiu,11695126,CK,11695126,
CK.11695127,Mangaia,Mangaia,11695127,CK,11695127,
CK.11695384,Manihiki,Manihiki,11695384,CK,11695384,
CK.11695385,Ma'uke,Ma'uke,11695385,CK,11695385,
CK.11695386,Mitiaro,Mitiaro,11695386,CK,11695386,
CK.11695387,Palmerston,Palmerston,11695387,CK,11695387,
CK.11695388,Penrhyn,Penrhyn,11695388,CK,11695388,
CK.11695389,Pukapuka,Pukapuka,11695389,CK,11695389,
CK.11695390,Rakahanga,Rakahanga,11695390,CK,11695390,
CK.11695425,Rarotonga,Rarotonga,11695425,CK,11695425,
