code,name,name_ascii,geonameid,iso,id,name_cn
CL.01,Valparaíso,Valparaiso,3868621,CL,1,
CL.15,Tarapacá,Tarapaca,3870116,CL,15,塔拉帕卡大区
CL.12,Santiago Metropolitan,Santiago Metropolitan,3873544,CL,12,圣地亚哥首都大区
CL.11,Maule Region,Maule Region,3880306,CL,11,
CL.14,Los Lagos Region,Los Lagos Region,3881974,CL,14,湖大区
CL.08,O'Higgins Region,O'Higgins Region,3883281,CL,8,奥伊金斯将军解放者大区
CL.07,Coquimbo Region,Coquimbo Region,3893623,CL,7,科金博大区
CL.06,Biobío,Biobio,3898380,CL,6,
CL.05,Atacama,Atacama,3899191,CL,5,
CL.04,Araucanía,Araucania,3899463,CL,4,
CL.03,Antofagasta,Antofagasta,3899537,CL,3,
CL.02,Aysén,Aysen,3900333,CL,2,
CL.10,Region of Magallanes,Region of Magallanes,4036650,CL,10,
CL.16,Arica y Parinacota Region,Arica y Parinacota Region,6693562,CL,16,阿里卡和帕里纳科塔大区
CL.17,Los Ríos Region,Los Rios Region,6693563,CL,17,河大区
CL.18,Ñuble,Nuble,11979367,CL,18,纽夫莱大区
