name_en,name_cn,name_pinyin,code,country_code,continent_code
Anhui,安徽,anhui,AH,CN,AS
Beijing,北京,beijing,BJ,CN,AS
Chongqing,重庆,chongqing,CQ,CN,AS
Fujian,福建,fujian,FJ,CN,AS
Gansu,甘肃,gansu,GS,CN,AS
Guangdong,广东,guangdong,GD,CN,AS
Guangxi,广西,guangxi,GX,CN,AS
Guizhou,贵州,guizhou,GZ,CN,AS
Hainan,海南,hainan,HI,CN,AS
Hebei,河北,hebei,HE,CN,AS
Heilongjiang,黑龙江,heilongjiang,HL,CN,AS
Henan,河南,henan,HA,CN,AS
Hubei,湖北,hubei,HB,CN,AS
Hunan,湖南,hunan,HN,CN,AS
Inner Mongolia,内蒙古,neimenggu,NM,CN,AS
Jiangsu,江苏,jiangsu,JS,CN,AS
Jiangxi,江西,jiangxi,JX,CN,AS
Jilin,吉林,jilin,JL,CN,AS
Liaoning,辽宁,liaoning,LN,CN,AS
Ningxia,宁夏,ningxia,NX,CN,AS
Qinghai,青海,qinghai,QH,CN,AS
Shaanxi,陕西,shaanxi,SN,CN,AS
Shandong,山东,shandong,SD,CN,AS
Shanghai,上海,shanghai,SH,CN,AS
Shanxi,山西,shanxi,SX,CN,AS
Sichuan,四川,sichuan,SC,CN,AS
Tianjin,天津,tianjin,TJ,CN,AS
Tibet,西藏,xizang,XZ,CN,AS
Xinjiang,新疆,xinjiang,XJ,CN,AS
Yunnan,云南,yunnan,YN,CN,AS
Zhejiang,浙江,zhejiang,ZJ,CN,AS
Hong Kong,香港,xianggang,HK,CN,AS
Macau,澳门,aomen,MO,CN,AS
Taiwan,台湾,taiwan,TW,CN,AS
