code,name,name_ascii,geonameid,iso,id,name_cn
CN.14,Tibet,Tibet,1279685,CN,14,西藏
CN.06,Qinghai,Qinghai,1280239,CN,6,青海
CN.13,Xinjiang,Xinjiang,1529047,CN,13,新疆维吾尔自治区
CN.02,Zhejiang,Zhejiang,1784764,CN,2,浙江
CN.29,Yunnan,Yunnan,1785694,CN,29,云南省
CN.28,Tianjin,Tianjin,1792943,CN,28,天津
CN.32,Sichuan,Sichuan,1794299,CN,32,四川
CN.24,Shanxi,Shanxi,1795912,CN,24,山西省
CN.23,Shanghai,Shanghai,1796231,CN,23,上海市
CN.25,Shandong,Shandong,1796328,CN,25,山东
CN.26,Shaanxi,Shaanxi,1796480,CN,26,陕西
CN.21,Ningxia,Ningxia,1799355,CN,21,宁夏
CN.03,Jiangxi,Jiangxi,1806222,CN,3,江西省
CN.04,Jiangsu,Jiangsu,1806260,CN,4,江苏
CN.11,Hunan,Hunan,1806691,CN,11,湖南省
CN.12,Hubei,Hubei,1806949,CN,12,湖北
CN.09,Henan,Henan,1808520,CN,9,河南省
CN.10,Hebei,Hebei,1808773,CN,10,河北
CN.31,Hainan,Hainan,1809054,CN,31,琼州
CN.18,Guizhou,Guizhou,1809445,CN,18,贵州省
CN.16,Guangxi,Guangxi,1809867,CN,16,广西
CN.30,Guangdong,Guangdong,1809935,CN,30,广东省
CN.15,Gansu,Gansu,1810676,CN,15,甘肃省
CN.07,Fujian,Fujian,1811017,CN,7,福建省
CN.33,Chongqing,Chongqing,1814905,CN,33,重庆市
CN.01,Anhui,Anhui,1818058,CN,1,安徽省
CN.20,Inner Mongolia,Inner Mongolia,2035607,CN,20,内蒙古
CN.19,Liaoning,Liaoning,2036115,CN,19,辽宁省
CN.05,Jilin,Jilin,2036500,CN,5,吉林省
CN.08,Heilongjiang,Heilongjiang,2036965,CN,8,黑龙江
CN.22,Beijing,Beijing,2038349,CN,22,北京
