code,name,name_ascii,geonameid,iso,id,name_cn
CO.31,Vichada Department,Vichada Department,3666082,CO,31,比查达省
CO.30,Vaupés,Vaupes,3666254,CO,30,
CO.29,Valle del Cauca Department,Valle del Cauca Department,3666313,CO,29,考卡山谷省
CO.28,Tolima Department,Tolima Department,3666951,CO,28,托利马省
CO.27,Sucre Department,Sucre Department,3667725,CO,27,苏克雷省
CO.26,Santander Department,Santander Department,3668578,CO,26,桑坦德省
CO.25,San Andres y Providencia,San Andres y Providencia,3670205,CO,25,
CO.24,Risaralda Department,Risaralda Department,3670698,CO,24,里萨拉尔达省
CO.23,Quindío Department,Quindio Department,3671087,CO,23,金迪奥省
CO.22,Putumayo Department,Putumayo Department,3671178,CO,22,普图马约省
CO.21,Norte de Santander Department,Norte de Santander Department,3673798,CO,21,北桑坦德省
CO.20,Nariño,Narino,3674021,CO,20,
CO.19,Meta Department,Meta Department,3674810,CO,19,梅塔省
CO.38,Magdalena Department,Magdalena Department,3675686,CO,38,马格达莱纳省
CO.17,La Guajira Department,La Guajira Department,3678847,CO,17,瓜希拉省
CO.16,Huila Department,Huila Department,3680692,CO,16,乌伊拉省
CO.14,Guaviare Department,Guaviare Department,3681344,CO,14,瓜维亚雷省
CO.15,Guainía Department,Guainia Department,3681652,CO,15,瓜伊尼亚省
CO.33,Cundinamarca,Cundinamarca,3685413,CO,33,昆迪纳马卡省
CO.12,Córdoba,Cordoba,3685889,CO,12,
CO.11,Chocó,Choco,3686431,CO,11,
CO.10,Cesar Department,Cesar Department,3686880,CO,10,塞萨尔省
CO.09,Cauca Department,Cauca Department,3687029,CO,9,考卡省
CO.32,Casanare Department,Casanare Department,3687173,CO,32,卡萨纳雷省
CO.08,Caquetá,Caqueta,3687479,CO,8,
CO.37,Caldas Department,Caldas Department,3687951,CO,37,卡尔达斯省
CO.36,Boyacá,Boyaca,3688536,CO,36,
CO.35,Bolívar,Bolivar,3688650,CO,35,
CO.34,Bogota D.C.,Bogota D.C.,3688685,CO,34,
CO.04,Atlántico,Atlantico,3689436,CO,4,
CO.03,Arauca Department,Arauca Department,3689717,CO,3,阿劳卡省
CO.02,Antioquia,Antioquia,3689815,CO,2,安蒂奥基亚省
CO.01,Amazonas Department,Amazonas Department,3689982,CO,1,亚马孙省
