code,name,name_ascii,geonameid,iso,id,name_cn
CU.16,Villa Clara Province,Villa Clara Province,3534168,CU,16,比亚克拉拉省
CU.15,Santiago de Cuba Province,Santiago de Cuba Province,3536725,CU,15,圣地亚哥省
CU.14,Sancti Spíritus Province,Sancti Spiritus Province,3540665,CU,14,圣斯皮里图斯省
CU.01,Pinar del Río,Pinar del Rio,3544088,CU,01,
CU.03,Matanzas Province,Matanzas Province,3547394,CU,03,马坦萨斯省
CU.13,Las Tunas Province,Las Tunas Province,3550595,CU,13,拉斯图纳斯省
CU.04,Isla de la Juventud,Isla de la Juventud,3556608,CU,04,
CU.12,Holguín Province,Holguin Province,3556965,CU,12,奥尔金省
CU.10,Guantánamo Province,Guantanamo Province,3557685,CU,10,关塔那摩省
CU.09,Granma Province,Granma Province,3558052,CU,09,格拉玛省
CU.02,Havana,Havana,3564073,CU,02,
CU.08,Cienfuegos Province,Cienfuegos Province,3564120,CU,08,西恩富戈斯省
CU.07,Ciego de Ávila Province,Ciego de Avila Province,3564175,CU,07,谢戈德阿维拉省
CU.05,Camagüey,Camaguey,3566062,CU,05,
CU.AR,Artemisa,Artemisa,7668824,CU,AR,阿特米萨省
CU.MA,Mayabeque,Mayabeque,7668827,CU,MA,玛雅贝克省
