code,name,name_ascii,geonameid,iso,id,name_cn
CV.20,Tarrafal,Tarrafal,3374161,CV,20,
CV.11,São Vicente,Sao Vicente,3374198,CV,11,
CV.15,Santa Catarina,Santa Catarina,3374226,CV,15,
CV.08,Sal,Sal,3374249,CV,8,
CV.07,Ribeira Grande,Ribeira Grande,3374274,CV,7,
CV.14,Praia,Praia,3374332,CV,14,
CV.05,Paul,Paul,3374391,CV,5,
CV.04,Maio,Maio,3374487,CV,4,
CV.02,Brava,Brava,3374832,CV,2,
CV.01,Boa Vista,Boa Vista,3374855,CV,1,
CV.13,Mosteiros,Mosteiros,3411924,CV,13,
CV.16,Santa Cruz,Santa Cruz,3411925,CV,16,
CV.17,São Domingos,Sao Domingos,3411926,CV,17,
CV.18,São Filipe,Sao Filipe,3411927,CV,18,
CV.19,São Miguel,Sao Miguel,3411928,CV,19,
CV.21,Porto Novo,Porto Novo,7602868,CV,21,
CV.22,Ribeira Brava,Ribeira Brava,7602869,CV,22,
CV.24,Santa Catarina do Fogo,Santa Catarina do Fogo,7602870,CV,24,
CV.26,São Salvador do Mundo,Sao Salvador do Mundo,7602871,CV,26,
CV.27,Tarrafal de São Nicolau,Tarrafal de Sao Nicolau,7602872,CV,27,
CV.25,São Lourenço dos Órgãos,Sao Lourenco dos Orgaos,7602873,CV,25,
CV.23,Ribeira Grande de Santiago,Ribeira Grande de Santiago,7603281,CV,23,
