code,name,name_ascii,geonameid,iso,id,name_cn
CZ.52,Prague,Prague,3067695,CZ,52,
CZ.78,South Moravian,South Moravian,3339536,CZ,78,南摩拉維亞州
CZ.79,Jihočeský kraj,Jihocesky kraj,3339537,CZ,79,南波希米亚州
CZ.80,Vysočina,Vysocina,3339538,CZ,80,
CZ.81,Karlovarský kraj,Karlovarsky kraj,3339539,CZ,81,
CZ.82,Královéhradecký kraj,Kralovehradecky kraj,3339540,CZ,82,
CZ.83,Liberecký kraj,Liberecky kraj,3339541,CZ,83,
CZ.84,Olomoucký,Olomoucky,3339542,CZ,84,
CZ.85,Moravskoslezský,Moravskoslezsky,3339573,CZ,85,
CZ.86,Pardubický,Pardubicky,3339574,CZ,86,
CZ.87,Plzeň Region,Plzen Region,3339575,CZ,87,
CZ.88,Central Bohemia,Central Bohemia,3339576,CZ,88,中波希米亚州
CZ.89,Ústecký kraj,Ustecky kraj,3339577,CZ,89,
CZ.90,Zlín,Zlin,3339578,CZ,90,
