code,name,name_ascii,geonameid,iso,id,name_cn
DE.15,Thuringia,Thuringia,2822542,DE,15,
DE.10,Schleswig-Holstein,Schleswig-Holstein,2838632,DE,10,石勒苏益格-荷尔斯泰因
DE.14,Saxony-Anhalt,Saxony-Anhalt,2842565,DE,14,萨克森-安哈尔特
DE.13,Saxony,Saxony,2842566,DE,13,萨克森州
DE.09,Saarland,Saarland,2842635,DE,9,萨尔兰州
DE.08,Rheinland-Pfalz,Rheinland-Pfalz,2847618,DE,8,莱茵兰－普法尔茨
DE.07,North Rhine-Westphalia,North Rhine-Westphalia,2861876,DE,7,北莱茵－威斯特法伦
DE.06,Lower Saxony,Lower Saxony,2862926,DE,6,下萨克森
DE.12,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,2872567,DE,12,梅克伦堡－前波美拉尼亚
DE.05,Hesse,Hesse,2905330,DE,5,黑森州
DE.04,Hamburg,Hamburg,2911297,DE,4,汉堡
DE.03,City state Bremen,City state Bremen,2944387,DE,3,不來梅州
DE.11,Brandenburg,Brandenburg,2945356,DE,11,勃兰登堡
DE.16,State of Berlin,State of Berlin,2950157,DE,16,柏林
DE.02,Bavaria,Bavaria,2951839,DE,2,巴伐利亚州
DE.01,Baden-Wurttemberg,Baden-Wurttemberg,2953481,DE,1,巴登-符腾堡
