code,name,name_ascii,geonameid,iso,id,name_cn
DM.11,Saint Peter Parish,Saint Peter Parish,3575618,DM,11,圣彼得堂区
DM.10,Saint Paul Parish,Saint Paul Parish,3575619,DM,10,圣保罗堂区
DM.09,Saint Patrick Parish,Saint Patrick Parish,3575620,DM,9,圣帕特里克堂区
DM.08,Saint Mark Parish,Saint Mark Parish,3575621,DM,8,圣马克堂区
DM.07,Saint Luke Parish,Saint Luke Parish,3575622,DM,7,圣卢克堂区
DM.06,Saint Joseph Parish,Saint Joseph Parish,3575625,DM,6,圣约瑟夫堂区
DM.05,Saint John Parish,Saint John Parish,3575626,DM,5,圣约翰堂区
DM.04,Saint George Parish,Saint George Parish,3575628,DM,4,圣乔治堂区
DM.03,Saint David Parish,Saint David Parish,3575630,DM,3,圣戴维堂区
DM.02,Saint Andrew Parish,Saint Andrew Parish,3575632,DM,2,圣安德鲁区
