code,name,name_ascii,geonameid,iso,id,name_cn
DO.27,Valverde Province,Valverde Province,3492112,DO,27,巴尔韦德省
DO.26,Santiago Rodríguez,Santiago Rodriguez,3492912,DO,26,
DO.25,Santiago Province,Santiago Province,3492918,DO,25,圣地亚哥省
DO.24,San Pedro de Macorís,San Pedro de Macoris,3493031,DO,24,圣彼德省
DO.23,San Juan Province,San Juan Province,3493091,DO,23,圣胡安省
DO.33,San Cristóbal,San Cristobal,3493186,DO,33,
DO.21,Sánchez Ramírez,Sanchez Ramirez,3493192,DO,21,
DO.20,Samaná,Samana,3493232,DO,20,萨马纳省
DO.19,Hermanas Mirabal,Hermanas Mirabal,3493282,DO,19,
DO.18,Puerto Plata,Puerto Plata,3494267,DO,18,普拉塔港省
DO.35,Peravia,Peravia,3495015,DO,35,
DO.16,Pedernales Province,Pedernales Province,3495136,DO,16,佩德纳莱斯省
DO.34,Nacional,Nacional,3496024,DO,34,國家特區
DO.32,Monte Plata Province,Monte Plata Province,3496132,DO,32,蒙特普拉塔省
DO.15,Monte Cristi Province,Monte Cristi Province,3496200,DO,15,蒙特克里斯蒂省
DO.31,Monseñor Nouel,Monsenor Nouel,3496274,DO,31,
DO.14,María Trinidad Sánchez,Maria Trinidad Sanchez,3496772,DO,14,
DO.30,La Vega,La Vega,3499977,DO,30,
DO.12,La Romana,La Romana,3500955,DO,12,罗马纳省
DO.10,La Altagracia Province,La Altagracia Province,3503706,DO,10,圣母省
DO.09,Independencia,Independencia,3504326,DO,9,独立省
DO.29,Hato Mayor Province,Hato Mayor Province,3504766,DO,29,阿托马约省
DO.08,Espaillat Province,Espaillat Province,3505867,DO,8,艾斯派亚省
DO.28,El Seíbo,El Seibo,3506189,DO,28,
DO.11,Elías Piña,Elias Pina,3507269,DO,11,
DO.06,Duarte Province,Duarte Province,3508718,DO,6,杜华德省
DO.04,Dajabón,Dajabon,3508951,DO,4,
DO.03,Barahona Province,Barahona Province,3512042,DO,3,巴拉奥纳省
DO.02,Baoruco Province,Baoruco Province,3512050,DO,2,巴奥鲁可省
DO.01,Azua Province,Azua Province,3512209,DO,1,阿苏阿省
DO.36,San José de Ocoa,San Jose de Ocoa,6201372,DO,36,
DO.37,Santo Domingo Province,Santo Domingo Province,6201373,DO,37,圣多明哥省
