code,name,name_ascii,geonameid,iso,id,name_cn
DZ.15,Tlemcen,Tlemcen,2475683,DZ,15,特莱姆森省
DZ.14,Tizi Ouzou,Tizi Ouzou,2475741,DZ,14,提济乌祖省
DZ.56,Tissemsilt,Tissemsilt,2475858,DZ,56,提塞姆西勒特省
DZ.55,Tipaza,Tipaza,2476027,DZ,55,
DZ.54,Tindouf,Tindouf,2476302,DZ,54,廷杜夫省
DZ.13,Tiaret,Tiaret,2476893,DZ,13,提亚雷特省
DZ.33,Tébessa,Tebessa,2477457,DZ,33,泰贝萨省
DZ.53,Tamanrasset,Tamanrasset,2478217,DZ,53,塔曼拉塞特省
DZ.52,Souk Ahras,Souk Ahras,2479213,DZ,52,苏格艾赫拉斯省
DZ.31,Skikda,Skikda,2479532,DZ,31,斯基克达省
DZ.30,Sidi Bel Abbès,Sidi Bel Abbes,2481001,DZ,30,西迪贝勒阿巴斯省
DZ.12,Sétif,Setif,2481696,DZ,12,塞提夫省
DZ.10,Saida,Saida,2482557,DZ,10,
DZ.51,Relizane,Relizane,2483666,DZ,51,埃利赞省
DZ.29,Oum el Bouaghi,Oum el Bouaghi,2484618,DZ,29,乌姆布瓦吉省
DZ.50,Ouargla,Ouargla,2485794,DZ,50,瓦尔格拉省
DZ.09,Oran,Oran,2485920,DZ,09,奥兰省
DZ.49,Naama,Naama,2486512,DZ,49,纳马省
DZ.27,M'Sila,M'Sila,2486682,DZ,27,姆西拉省
DZ.07,Mostaganem,Mostaganem,2487130,DZ,07,穆斯塔加奈姆省
DZ.48,Mila,Mila,2487449,DZ,48,米拉省
DZ.06,Medea,Medea,2488831,DZ,06,
DZ.26,Mascara,Mascara,2490095,DZ,26,穆阿斯凯尔省
DZ.25,Laghouat,Laghouat,2491188,DZ,25,艾格瓦特省
DZ.47,Khenchela,Khenchela,2491887,DZ,47,汉舍莱省
DZ.24,Jijel,Jijel,2492910,DZ,24,吉杰勒省
DZ.46,Illizi,Illizi,2493455,DZ,46,伊利济省
DZ.23,Guelma,Guelma,2495659,DZ,23,盖勒马省
DZ.45,Ghardaia,Ghardaia,2496045,DZ,45,
DZ.44,El Tarf,El Tarf,2497322,DZ,44,塔里夫省
DZ.43,El Oued,El Oued,2497406,DZ,43,瓦迪省
DZ.42,El Bayadh,El Bayadh,2498541,DZ,42,巴亚兹省
DZ.22,Djelfa,Djelfa,2500013,DZ,22,杰勒法省
DZ.04,Constantine,Constantine,2501147,DZ,04,君士坦丁省
DZ.41,Chlef,Chlef,2501296,DZ,41,谢利夫省
DZ.40,Boumerdes,Boumerdes,2502638,DZ,40,
DZ.21,Bouira,Bouira,2502951,DZ,21,布维拉省
DZ.39,Bordj Bou Arréridj,Bordj Bou Arreridj,2503699,DZ,39,布阿拉里季堡省
DZ.20,Blida,Blida,2503765,DZ,20,卜利达省
DZ.19,Biskra,Biskra,2503822,DZ,19,比斯克拉省
DZ.18,Béjaïa,Bejaia,2505325,DZ,18,
DZ.38,Béchar,Bechar,2505525,DZ,38,贝沙尔省
DZ.03,Batna,Batna,2505569,DZ,03,巴特纳省
DZ.37,Annaba,Annaba,2506994,DZ,37,安纳巴省
DZ.01,Algiers,Algiers,2507475,DZ,01,阿尔及尔省
DZ.36,Aïn Témouchent,Ain Temouchent,2507899,DZ,36,艾因泰穆尚特省
DZ.35,Aïn Defla,Ain Defla,2508226,DZ,35,艾因迪夫拉省
DZ.34,Adrar,Adrar,2508807,DZ,34,阿德拉尔省
DZ.BB,Bordj Badji Mokhtar,Bordj Badji Mokhtar,12226383,DZ,BB,
DZ.TM,Timimoun,Timimoun,12226384,DZ,TM,
DZ.BA,Beni Abbes,Beni Abbes,12226385,DZ,BA,贝尼阿巴斯省
DZ.IG,In Guezzam,In Guezzam,12226386,DZ,IG,
DZ.IS,In Salah,In Salah,12226387,DZ,IS,
DZ.DJ,Djanet,Djanet,12226388,DZ,DJ,
DZ.EM,El Menia,El Menia,12226389,DZ,EM,
DZ.TG,Touggourt,Touggourt,12226390,DZ,TG,
DZ.MG,El Mghair,El Mghair,12226391,DZ,MG,
DZ.OD,Ouled Djellal,Ouled Djellal,12226392,DZ,OD,
