code,name,name_ascii,geonameid,iso,id,name_cn
EC.20,Zamora Chinchipe,Zamora Chinchipe,3649953,EC,20,萨莫拉-钦奇佩省
EC.19,Tungurahua Province,Tungurahua Province,3650445,EC,19,通古拉瓦省
EC.18,Pichincha,Pichincha,3653224,EC,18,皮钦查省
EC.17,Pastaza Province,Pastaza Province,3653392,EC,17,帕斯塔萨省
EC.23,Napo,Napo,3653890,EC,23,纳波省
EC.15,Morona-Santiago Province,Morona-Santiago Province,3654005,EC,15,莫罗纳-圣地亚哥省
EC.14,Manabí,Manabi,3654451,EC,14,
EC.13,Los Ríos,Los Rios,3654592,EC,13,
EC.12,Loja,Loja,3654665,EC,12,洛哈省
EC.11,Imbabura,Imbabura,3655635,EC,11,因巴布拉省
EC.10,Guayas,Guayas,3657505,EC,10,瓜亚斯省
EC.01,Galápagos,Galapagos,3657879,EC,1,
EC.09,Esmeraldas,Esmeraldas,3657986,EC,9,埃斯梅拉达斯省
EC.08,El Oro,El Oro,3658195,EC,8,埃尔奥罗省
EC.07,Cotopaxi,Cotopaxi,3658766,EC,7,
EC.06,Chimborazo Province,Chimborazo Province,3659237,EC,6,钦博拉索省
EC.05,Carchi,Carchi,3659718,EC,5,卡尔奇省
EC.04,Cañar,Canar,3659849,EC,4,
EC.03,Bolívar,Bolivar,3660130,EC,3,
EC.02,Azuay,Azuay,3660431,EC,2,阿苏艾省
EC.22,Sucumbíos,Sucumbios,3830305,EC,22,
EC.24,Orellana Province,Orellana Province,3830306,EC,24,奥雷亚纳省
EC.26,Santo Domingo de los Tsáchilas,Santo Domingo de los Tsachilas,7062136,EC,26,圣多明各-德洛斯查奇拉斯省
EC.25,Santa Elena,Santa Elena,7062138,EC,25,圣埃伦娜省
