code,name,name_ascii,geonameid,iso,id,name_cn
EE.21,Võrumaa,Vorumaa,587448,EE,21,沃魯縣
EE.20,Viljandimaa,Viljandimaa,587590,EE,20,维尔扬迪县
EE.19,Valgamaa,Valgamaa,587875,EE,19,瓦爾加縣
EE.18,Tartu,Tartu,588334,EE,18,塔爾圖縣
EE.14,Saare,Saare,588879,EE,14,萨雷县
EE.13,Raplamaa,Raplamaa,589115,EE,13,拉普拉縣
EE.12,Põlvamaa,Polvamaa,589373,EE,12,珀爾瓦縣
EE.11,Pärnumaa,Paernumaa,589576,EE,11,派爾努縣
EE.08,Lääne-Virumaa,Laeaene-Virumaa,590854,EE,8,西維魯縣
EE.07,Lääne,Laeaene,590856,EE,7,萊內縣
EE.05,Jõgevamaa,Jogevamaa,591901,EE,5,約格瓦縣
EE.04,Järvamaa,Jaervamaa,591961,EE,4,耶爾瓦縣
EE.03,Ida-Virumaa,Ida-Virumaa,592075,EE,3,東維魯縣
EE.02,Hiiumaa,Hiiumaa,592133,EE,2,希乌县
EE.01,Harjumaa,Harjumaa,592170,EE,1,哈尔尤县
