code,name,name_ascii,geonameid,iso,id,name_cn
EG.24,Sohag,Sohag,347794,EG,24,索哈杰省
EG.27,North Sinai,North Sinai,349401,EG,27,北西奈省
EG.23,Qena,Qena,350546,EG,23,基纳省
EG.22,Matruh,Matruh,352603,EG,22,马特鲁省
EG.21,Kafr el-Sheikh,Kafr el-Sheikh,354500,EG,21,谢赫村省
EG.26,South Sinai,South Sinai,355182,EG,26,南西奈省
EG.20,Damietta,Damietta,358044,EG,20,杜姆亚特省
EG.19,Port Said,Port Said,358617,EG,19,塞得港省
EG.18,Beni Suweif,Beni Suweif,359171,EG,18,
EG.17,Asyut,Asyut,359781,EG,17,艾斯尤特省
EG.16,Aswan,Aswan,359787,EG,16,阿斯旺省
EG.15,Suez,Suez,359797,EG,15,苏伊士省
EG.14,Sharqia,Sharqia,360016,EG,14,
EG.13,New Valley,New Valley,360483,EG,13,新河谷省
EG.12,Qalyubia,Qalyubia,360621,EG,12,盖卢比尤省
EG.11,Cairo,Cairo,360631,EG,11,开罗省
EG.10,Minya,Minya,360688,EG,10,明亚省
EG.09,Monufia,Monufia,360689,EG,9,米努夫省
EG.08,Giza,Giza,360997,EG,8,吉萨省
EG.07,Ismailia,Ismailia,361056,EG,7,伊斯梅利亚省
EG.06,Alexandria,Alexandria,361059,EG,6,亚历山大省
EG.05,Gharbia,Gharbia,361294,EG,5,西部省
EG.04,Faiyum,Faiyum,361323,EG,4,法尤姆省
EG.03,Beheira,Beheira,361370,EG,3,布海拉省
EG.02,Red Sea,Red Sea,361468,EG,2,红海省
EG.01,Dakahlia,Dakahlia,361849,EG,1,代盖赫利耶省
EG.28,Luxor,Luxor,7603259,EG,28,卢克索省
