code,name,name_ascii,geonameid,iso,id,name_cn
ES.31,Murcia,Murcia,2513413,ES,31,穆尔西亚自治区
ES.CE,Ceuta,Ceuta,2519582,ES,CE,休达
ES.07,Balearic Islands,Balearic Islands,2521383,ES,07,
ES.51,Andalusia,Andalusia,2593109,ES,51,安达卢西亚
ES.53,Canary Islands,Canary Islands,2593110,ES,53,加那利群岛
ES.54,Castille-La Mancha,Castille-La Mancha,2593111,ES,54,卡斯蒂利亚-拉曼恰
ES.57,Extremadura,Extremadura,2593112,ES,57,埃斯特雷马杜拉
ES.60,Valencia,Valencia,2593113,ES,60,巴倫西亞自治區
ES.34,Asturias,Asturias,3114710,ES,34,阿斯图里亚斯
ES.32,Navarre,Navarre,3115609,ES,32,纳瓦拉
ES.29,Madrid,Madrid,3117732,ES,29,马德里自治区
ES.27,La Rioja,La Rioja,3336897,ES,27,拉里奥哈
ES.39,Cantabria,Cantabria,3336898,ES,39,坎塔布里亚
ES.52,Aragon,Aragon,3336899,ES,52,
ES.55,Castille and León,Castille and Leon,3336900,ES,55,卡斯蒂利亚-莱昂
ES.56,Catalonia,Catalonia,3336901,ES,56,
ES.58,Galicia,Galicia,3336902,ES,58,加利西亚
ES.59,Basque Country,Basque Country,3336903,ES,59,
ES.ML,Melilla,Melilla,6362988,ES,ML,
