code,name,name_ascii,geonameid,iso,id,name_cn
ET.44,Addis Ababa,Addis Ababa,444178,ET,44,
ET.45,Āfar,Afar,444179,ET,45,阿法尔州
ET.46,Amhara,Amhara,444180,ET,46,阿姆哈拉州
ET.47,Bīnshangul Gumuz,Binshangul Gumuz,444181,ET,47,本尚古勒-古马兹州
ET.48,Dire Dawa,Dire Dawa,444182,ET,48,德雷达瓦
ET.49,Gambela,Gambela,444183,ET,49,甘贝拉州
ET.50,Harari,Harari,444184,ET,50,哈勒尔州
ET.51,Oromiya,Oromiya,444185,ET,51,奥罗米亚州
ET.52,Somali,Somali,444186,ET,52,索马里州
ET.53,Tigray,Tigray,444187,ET,53,提格里州
ET.SI,Sidama Region,Sidama Region,8299784,ET,SI,
ET.55,Central Ethiopia Regional State,Central Ethiopia Regional State,12902749,ET,55,
ET.56,South Ethiopia Regional State,South Ethiopia Regional State,12902766,ET,56,
ET.SW,South West Ethiopia Peoples' Region,South West Ethiopia Peoples' Region,12902784,ET,SW,
