code,name,name_ascii,geonameid,iso,id,name_cn
FI.19,Lapland,Lapland,830603,FI,19,拉普蘭區
FI.18,Kainuu,Kainuu,830664,FI,18,凯努区
FI.17,North Ostrobothnia,North Ostrobothnia,830667,FI,17,北博滕区
FI.16,Central Ostrobothnia,Central Ostrobothnia,830675,FI,16,中博滕区
FI.15,Ostrobothnia,Ostrobothnia,830676,FI,15,博滕區
FI.14,South Ostrobothnia,South Ostrobothnia,830682,FI,14,南博滕区
FI.13,Central Finland,Central Finland,830685,FI,13,
FI.12,North Karelia,North Karelia,830686,FI,12,北卡累利阿区
FI.11,North Savo,North Savo,830690,FI,11,北萨沃区
FI.10,South Savo,South Savo,830695,FI,10,南萨沃区
FI.09,South Karelia,South Karelia,830699,FI,9,
FI.08,Kymenlaakso,Kymenlaakso,830703,FI,8,屈米河谷区
FI.06,Pirkanmaa,Pirkanmaa,830704,FI,6,皮尔卡区
FI.05,Kanta-Häme,Kanta-Haeme,830705,FI,5,坎塔海梅区
FI.02,Southwest Finland,Southwest Finland,830708,FI,2,西南芬蘭區
FI.01,Uusimaa,Uusimaa,830709,FI,1,新地区
FI.07,Paijat-Hame,Paijat-Hame,831040,FI,7,
FI.04,Satakunta,Satakunta,831041,FI,4,萨塔昆塔区
