code,name,name_ascii,geonameid,iso,id,name_cn
FR.93,Provence-Alpes-Côte d'Azur,Provence-Alpes-Cote d'Azur,2985244,FR,93,普罗旺斯-阿尔卑斯-蔚蓝海岸大区
FR.52,Pays de la Loire,Pays de la Loire,2988289,FR,52,卢瓦尔河地区大区
FR.11,Île-de-France,Ile-de-France,3012874,FR,11,法兰西岛大区
FR.94,Corsica,Corsica,3023519,FR,94,
FR.24,Centre,Centre,3027939,FR,24,中央-卢瓦尔河谷大区
FR.53,Brittany,Brittany,3030293,FR,53,布列塔尼大区
FR.27,Bourgogne-Franche-Comté,Bourgogne-Franche-Comte,11071619,FR,27,勃艮第-弗朗什-孔泰大区
FR.75,Nouvelle-Aquitaine,Nouvelle-Aquitaine,11071620,FR,75,
FR.28,Normandy,Normandy,11071621,FR,28,诺曼底大区
FR.44,Grand Est,Grand Est,11071622,FR,44,大东部大区
FR.76,Occitanie,Occitanie,11071623,FR,76,
FR.32,Hauts-de-France,Hauts-de-France,11071624,FR,32,上法兰西大区
FR.84,Auvergne-Rhône-Alpes,Auvergne-Rhone-Alpes,11071625,FR,84,奥弗涅-罗讷-阿尔卑斯大区
