code,name,name_ascii,geonameid,iso,id,name_cn
GE.51,Tbilisi,Tbilisi,611716,GE,51,第比利斯
GE.04,Adjara,Adjara,615929,GE,4,阿扎尔自治共和国
GE.68,Kvemo Kartli,Kvemo Kartli,865536,GE,68,克维莫-卡特利州
GE.67,Kakheti,Kakheti,865537,GE,67,卡赫季州
GE.65,Guria,Guria,865538,GE,65,古利亚州
GE.66,Imereti,Imereti,865539,GE,66,伊梅列季亚州
GE.73,Shida Kartli,Shida Kartli,865540,GE,73,什达-卡特利州
GE.69,Mtskheta-Mtianeti,Mtskheta-Mtianeti,865541,GE,69,姆茨赫塔-姆季阿涅季州
GE.70,Racha-Lechkhumi and Kvemo Svaneti,Racha-Lechkhumi and Kvemo Svaneti,865542,GE,70,
GE.71,Samegrelo and Zemo Svaneti,Samegrelo and Zemo Svaneti,865543,GE,71,萨梅格列罗-上斯瓦涅季亚州
GE.72,Samtskhe-Javakheti,Samtskhe-Javakheti,865544,GE,72,薩姆茨赫-扎瓦赫季州
GE.02,Abkhazia,Abkhazia,6643410,GE,2,阿布哈茲
