code,name,name_ascii,geonameid,iso,id,name_cn
GG.6417213,St Pierre du Bois,St Pierre du Bois,6417213,GG,6417213,
GG.6417214,Torteval,Torteval,6417214,GG,6417214,
GG.6417215,Saint Saviour,Saint Saviour,6417215,GG,6417215,
GG.6417223,Forest,Forest,6417223,GG,6417223,
GG.6417224,St Martin,St Martin,6417224,GG,6417224,
GG.6417226,Saint Andrew,Saint Andrew,6417226,GG,6417226,
GG.6417228,St Peter Port,St Peter Port,6417228,GG,6417228,
GG.6417229,Castel,Castel,6417229,GG,6417229,
GG.6417230,Vale,Vale,6417230,GG,6417230,
GG.6417233,St Sampson,St Sampson,6417233,GG,6417233,
GG.8989934,Alderney,Alderney,8989934,GG,8989934,
