code,name,name_ascii,geonameid,iso,id,name_cn
GH.09,Western,Western,2294076,GH,9,
GH.08,Volta,Volta,2294234,GH,8,
GH.11,Upper West,Upper West,2294286,GH,11,
GH.10,Upper East,Upper East,2294291,GH,10,
GH.06,Northern,Northern,2297169,GH,6,
GH.01,Greater Accra,Greater Accra,2300569,GH,1,
GH.05,Eastern,Eastern,2301360,GH,5,
GH.04,Central,Central,2302353,GH,4,
GH.02,Ashanti,Ashanti,2304116,GH,2,
GH.13,Bono,Bono,12105069,GH,13,
GH.16,Oti,Oti,12105070,GH,16,
GH.15,North East,North East,12105071,GH,15,
GH.12,Ahafo,Ahafo,12105072,GH,12,
GH.14,Bono East,Bono East,12105073,GH,14,
GH.17,Savannah,Savannah,12105074,GH,17,
GH.18,Western North,Western North,12105075,GH,18,
