code,name,name_ascii,geonameid,iso,id,name_cn
GR.736572,Mount Athos,Mount Athos,736572,GR,736572,
GR.ESYE31,Attica,Attica,6692632,GR,ESYE31,
GR.ESYE24,Central Greece,Central Greece,6697800,GR,ESYE24,
GR.ESYE12,Central Macedonia,Central Macedonia,6697801,GR,ESYE12,中马其顿大区
GR.ESYE43,Crete,Crete,6697802,GR,ESYE43,
GR.ESYE11,East Macedonia and Thrace,East Macedonia and Thrace,6697803,GR,ESYE11,东马其顿和色雷斯大区
GR.ESYE21,Epirus,Epirus,6697804,GR,ESYE21,
GR.ESYE22,Ionian Islands,Ionian Islands,6697805,GR,ESYE22,
GR.ESYE41,North Aegean,North Aegean,6697806,GR,ESYE41,
GR.ESYE25,Peloponnese,Peloponnese,6697807,GR,ESYE25,
GR.ESYE42,South Aegean,South Aegean,6697808,GR,ESYE42,
GR.ESYE14,Thessaly,Thessaly,6697809,GR,ESYE14,
GR.ESYE23,West Greece,West Greece,6697810,GR,ESYE23,
GR.ESYE13,West Macedonia,West Macedonia,6697811,GR,ESYE13,西马其顿大区
