code,name,name_ascii,geonameid,iso,id,name_cn
GT.22,Zacapa,Zacapa,3587586,GT,22,萨卡帕省
GT.21,Totonicapán,Totonicapan,3588257,GT,21,
GT.20,Suchitepeque,Suchitepeque,3588668,GT,20,
GT.19,Sololá,Solola,3588697,GT,19,索洛拉省
GT.18,Santa Rosa Department,Santa Rosa Department,3589172,GT,18,圣罗萨省
GT.17,San Marcos,San Marcos,3589801,GT,17,圣马科斯省
GT.16,Sacatepéquez,Sacatepequez,3590686,GT,16,萨卡特佩克斯省
GT.15,Retalhuleu,Retalhuleu,3590857,GT,15,
GT.14,Quiché,Quiche,3590964,GT,14,基切省
GT.13,Quetzaltenango,Quetzaltenango,3590978,GT,13,克萨尔特南戈省
GT.12,Petén,Peten,3591410,GT,12,贝登省
GT.11,Jutiapa,Jutiapa,3595067,GT,11,
GT.10,Jalapa,Jalapa,3595236,GT,10,
GT.09,Izabal Department,Izabal Department,3595259,GT,9,伊萨瓦尔省
GT.08,Huehuetenango,Huehuetenango,3595415,GT,8,
GT.07,Guatemala,Guatemala,3595530,GT,7,瓜地马拉省
GT.06,Escuintla,Escuintla,3595802,GT,6,
GT.05,El Progreso,El Progreso,3596416,GT,5,普罗格雷索省
GT.04,Chiquimula,Chiquimula,3598464,GT,4,奇基穆拉省
GT.03,Chimaltenango,Chimaltenango,3598571,GT,3,奇马尔特南戈省
GT.02,Baja Verapaz,Baja Verapaz,3599602,GT,2,下维拉帕斯省
GT.01,Alta Verapaz,Alta Verapaz,3599773,GT,1,上维拉帕斯省
