code,name,name_ascii,geonameid,iso,id,name_cn
GU.PI,Piti,Piti,4038478,GU,PI,
GU.SR,Santa Rita,Santa Rita,4038555,GU,SR,
GU.SJ,Sinajana,Sinajana,4038590,GU,SJ,
GU.TF,Talofofo,Talofofo,4038652,GU,TF,
GU.TM,Tamuning,Tamuning,4038661,GU,TM,
GU.UM,Umatac,Umatac,4038739,GU,UM,
GU.YG,Yigo,Yigo,4038796,GU,YG,
GU.YN,Yona,Yona,4038811,GU,YN,
GU.ME,Merizo,Merizo,4043396,GU,ME,
GU.MA,Mangilao,Mangilao,4043416,GU,MA,
GU.AH,Agana Heights,Agana Heights,4043524,GU,AH,
GU.CP,Chalan Pago-Ordot,Chalan Pago-Ordot,4043614,GU,CP,
GU.AS,Asan,Asan,4043691,GU,AS,
GU.AT,Agat,Agat,4043725,GU,AT,
GU.DD,Dededo,Dededo,4043877,GU,DD,
GU.BA,Barrigada,Barrigada,4043885,GU,BA,
GU.AN,Hagatna,Hagatna,4044019,GU,AN,
GU.IN,Inarajan,Inarajan,4044041,GU,IN,
GU.MT,Mongmong-Toto-Maite,Mongmong-Toto-Maite,4044148,GU,MT,
